codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
"228","WINDTURBINE","WINDTURBINE","Y","","","","38.24728611N","023.13362778E","0","M","702","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"229","WINDTURBINE","WINDTURBINE","N","","","","38.24684444N","023.13613611E","0","M","699","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"230","WINDTURBINE","WINDTURBINE","Y","","","","38.24617778N","023.13856389E","0","M","698","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"231","WINDTURBINE","WINDTURBINE","N","","","","38.24527500N","023.14092778E","0","M","670","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"232","WINDTURBINE","WINDTURBINE","N","","","","38.24608889N","023.14359444E","0","M","629","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"233","WINDTURBINE","WINDTURBINE","Y","","","","38.20854167N","023.42874444E","0","M","1002","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"234","WINDTURBINE","WINDTURBINE","Y","","","","38.20853056N","023.43393333E","0","M","1014","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"235","WINDTURBINE","WINDTURBINE","Y","","","","38.20901389N","023.43897778E","0","M","1006","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"236","WINDTURBINE","WINDTURBINE","Y","","","","38.21023333N","023.44407500E","0","M","999","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"237","WINDTURBINE","WINDTURBINE","Y","","","","38.20888889N","023.44728889E","0","M","1011","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"238","WINDTURBINE","WINDTURBINE","Y","","","","38.23626667N","023.40784444E","0","M","729","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
