codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
341,OTHER,STOCKHOLM/KLARA K:A,NO,,,,59.331165,18.061277,0,M,374,0,348,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Church,Swedish Aeronautical Information Service
342,MAST,STOCKHOLM/NACKA,YES,,F R/FLG W,,59.297585,18.172943,0,M,1165,0,984,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
343,BUILDING,STOCKHOLM/STADSHUSET,NO,,,,59.32728,18.056,0,M,348,0,344,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Building,Swedish Aeronautical Information Service
344,BUILDING,STOCKHOLM/VÄRTAN1,NO,,,,59.356167,18.08989,0,M,390,0,328,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Building,Swedish Aeronautical Information Service
345,CHIMNEY,STOCKHOLM/VÄRTAN2(B),YES,,F R,,59.353386,18.102945,0,M,528,0,463,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Chimney,Swedish Aeronautical Information Service
346,MAST,TJÄRVEN,YES,,F R,,59.735443,19.336111,0,M,378,0,354,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
350,MAST,SYSSLEBÄCK,YES,,F R,,60.712112,12.904555,0,M,1582,0,400,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
353,MAST,LOFFSTRAND/ENNARBOL,YES,,F R,,60.30886,13.382556,0,M,1499,0,374,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
359,MAST,MALUNG,YES,,F R,,60.66689,13.6571665,0,M,1965,0,344,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
362,MAST,VANSBRO/HUMMELBERGET,YES,,F R,,60.43689,14.1079445,0,M,2010,0,420,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
