obs_id;aip_id;obs_txt_name;obs_txt_name_cz;obs_txt_descr_type;obs_txt_descr_type_cz;obs_val_elev;obs_val_hgt;obs_uom_dist_ver;obs_txt_ver_datum;obs_geo_lat;obs_geo_long;obs_code_datum;obs_txt_descr_marking;obs_txt_descr_marking_cz;obs_txt_descr_lgt;obs_txt_descr_lgt_cz;obs_code_lgt;obs_txt_rmk;obs_txt_rmk_cz
83560;79;LITVINOV;LITVÍNOV;chimney;komín;352;110;M;BpV;503346.17N;0133652.99E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83555;71;LITVINOV;LITVÍNOV;cooling tower;chladící věž;348;101;M;BpV;503355.00N;0133554.85E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83554;72;LITVINOV;LITVÍNOV;tower;věž;352;105;M;BpV;503401.00N;0133558.74E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83557;82;LITVINOV;LITVÍNOV;cooling tower;chladící věž;343;101;M;BpV;503327.55N;0133654.25E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83556;74;LITVINOV;LITVÍNOV;cooling tower;chladící věž;348;101;M;BpV;503356.26N;0133605.29E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83544;75;LITVINOV;LITVÍNOV;cooling tower;chladící věž;342;102;M;BpV;503327.46N;0133612.64E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83586;122;LOUCOVICE;LOUČOVICE;chimney;komín;783;111;M;BpV;483707.42N;0141508.32E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83640;113;LOVOSICE;LOVOSICE;chimney;komín;248;101;M;BpV;503048.27N;0140455.43E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83805;274;MALETIN;MALETÍN;wind power plant;větrná elektrárna;708;135;M;BpV;494826.23N;0164717.32E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
99920;416a;MECHENICE;MĚCHENICE;pole;sloup;322;57;M;BpV;495411.13N;0142341.28E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:416a (Part of line obstacle: 416);NR:416a (Součást liniové překážky: 416)
99921;416b;MECHENICE;MĚCHENICE;transmission line;el. vedení;369;169;M;BpV;495417.80N;0142351.72E;WGE;unknown;není známo;ValueEmpty;ValueEmpty;N;NR:416b (Part of line obstacle: 416);NR:416b (Součást liniové překážky: 416)
99928;418c;MECHENICE;MĚCHENICE;pole;sloup;372;25;M;BpV;495419.37N;0142413.00E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:418c (Part of line obstacle: 418);NR:418c (Součást liniové překážky: 418)
99927;418b;MECHENICE;MĚCHENICE;transmission line;el. vedení;337;134;M;BpV;495413.85N;0142353.97E;WGE;unknown;není známo;ValueEmpty;ValueEmpty;N;NR:418b (Part of line obstacle: 418);NR:418b (Součást liniové překážky: 418)
99926;418a;MECHENICE;MĚCHENICE;pole;sloup;291;30;M;BpV;495410.83N;0142343.73E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:418a (Part of line obstacle: 418);NR:418a (Součást liniové překážky: 418)
99943;424b;MEZIHORI;MEZIHOŘÍ;transmission line;el. vedení;501;102;M;BpV;495006.71N;0144427.60E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:424b (Part of line obstacle: 424);NR:424b (Součást liniové překážky: 424)
99942;424a;MEZIHORI;MEZIHOŘÍ;pole;sloup;507;45;M;BpV;495015.13N;0144424.81E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:424a (Part of line obstacle: 424);NR:424a (Součást liniové překážky: 424)
99944;424c;MEZIHORI;MEZIHOŘÍ;pole;sloup;494;36;M;BpV;494957.52N;0144430.66E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:424c (Part of line obstacle: 424);NR:424c (Součást liniové překážky: 424)
