codeGroup,groupInternalId,name,type,lighted,markingDescription,heightUnit,heightValue,elevationValue,latutide,longitude,defaultHeightFlag,verticalPrecision,lateralPrecision,obstacleRadius,linkedToGroupInternalId,linkType
,,RÅBY,Wind turbine,true,,ft,390,238.9632,55.825,13.655833,false,,,,,
,,KÄVLINGE,Wind turbine,true,,ft,410,156.972,55.827778,13.128889,false,,,,,
,,KÄVLINGE,Wind turbine,true,,ft,410,156.972,55.82611,13.134444,false,,,,,
,,KÄVLINGE,Wind turbine,true,,ft,410,157.8864,55.824444,13.14,false,,,,,
,,KLÅGERUP,Wind turbine,true,,ft,417,142.9512,55.61333,13.267222,false,,,,,
,,KLÅGERUP,Wind turbine,true,,ft,417,138.9888,55.610554,13.2705555,false,,,,,
,,KLÅGERUP,Wind turbine,true,,ft,417,138.0744,55.607777,13.273611,false,,,,,
,,RAMSÅSA,Wind turbine,true,,ft,328,164.8968,55.574444,13.892777,false,,,,,
,,KLÅGERUP,Wind turbine,true,,ft,390,130.1496,55.61222,13.241389,false,,,,,
,,SKABERSJÖ,Wind turbine,true,,ft,410,171.90720000000002,55.538055,13.186111,false,,,,,
,,SKABERSJÖ,Wind turbine,true,,ft,410,168.85920000000002,55.539722,13.192223,false,,,,,
,,SKABERSJÖ,Wind turbine,true,,ft,410,170.07840000000002,55.541943,13.182222,false,,,,,
,,SKABERSJÖ,Wind turbine,true,,ft,410,170.99280000000002,55.523335,13.155277,false,,,,,
,,SKABERSJÖ,Wind turbine,true,,ft,410,161.8488,55.52028,13.157222,false,,,,,
,,VINNINGE,Wind turbine,true,,ft,390,125.8824,55.611942,13.247223,false,,,,,
,,VINNINGE,Wind turbine,true,,ft,390,132.8928,55.611664,13.252778,false,,,,,
,,ST BEDDINGE,Wind turbine,true,,ft,410,146.9136,55.39278,13.435833,false,,,,,
,,ST HERRESTAD,Wind turbine,true,,ft,328,145.0848,55.483334,13.843055,false,,,,,
,,ST HERRESTAD,Wind turbine,true,,ft,328,149.0472,55.484444,13.847777,false,,,,,
,,ST HERRESTAD,Wind turbine,true,,ft,328,148.1328,55.483334,13.8525,false,,,,,
,,SVALÖV,Wind turbine,true,,ft,335,170.07840000000002,55.912224,13.0575,false,,,,,
,,SVALÖV,Wind turbine,true,,ft,335,166.116,55.911945,13.053612,false,,,,,
,,LINDERÖD,Mast,true,,ft,328,259.99440000000004,55.92639,13.748055,false,,,,,
,,TOMELILLA,Wind turbine,true,,ft,390,200.8632,55.564167,13.980277,false,,,,,
,,ENBW WINDPARK BALTIC 2 M2,Wind turbine,true,,ft,456,138.9888,55.00139,13.198334,false,,,,,
,,ENBW WINDPARK BALTIC 2 N2,Wind turbine,true,,ft,456,138.9888,55.0025,13.209167,false,,,,,
,,ENBW WINDPARK BALTIC 2 N1,Wind turbine,true,,ft,456,138.9888,55.008057,13.206388,false,,,,,
,,ENBW WINDPARK BALTIC 2 I1,Wind turbine,true,,ft,456,138.9888,55.00528,13.151667,false,,,,,
,,ENBW WINDPARK BALTIC 2 M1,Wind turbine,true,,ft,456,138.9888,55.00778,13.195278,false,,,,,
,,ENBW WINDPARK BALTIC 2 O1,Wind turbine,true,,ft,456,138.9888,55.008335,13.2175,false,,,,,
,,ENBW WINDPARK BALTIC 2 O2,Wind turbine,true,,ft,456,138.9888,55.003334,13.219722,false,,,,,
,,ENBW WINDPARK BALTIC 2 P2,Wind turbine,true,,ft,456,138.9888,55.002224,13.231667,false,,,,,
,,ENBW WINDPARK BALTIC 2 P1,Wind turbine,true,,ft,456,138.9888,55.00861,13.228611,false,,,,,
,,ENBW WINDPARK BALTIC 2 J1,Wind turbine,true,,ft,456,138.9888,55.00722,13.161944,false,,,,,
,,ENBW WINDPARK BALTIC 2 J2,Wind turbine,true,,ft,456,138.9888,55.001667,13.164444,false,,,,,
,,ENBW WINDPARK BALTIC 2 K1,Wind turbine,true,,ft,456,138.9888,55.0075,13.172778,false,,,,,
,,ENBW WINDPARK BALTIC 2 K2,Wind turbine,true,,ft,456,138.9888,55.001667,13.175556,false,,,,,
,,ENBW WINDPARK BALTIC 2 L1,Wind turbine,true,,ft,456,138.9888,55.00778,13.184167,false,,,,,
,,ENBW WINDPARK BALTIC 2 L2,Wind turbine,true,,ft,456,138.9888,55.001667,13.186945,false,,,,,
,,BILLEBERGA,Wind turbine,true,,ft,433,193.8528,55.89417,13.028055,false,,,,,
,,TIRUP,Wind turbine,true,,ft,433,196.9008,55.894726,13.034445,false,,,,,
